Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",603,2,1uF,
"J1, J2",HRS_FH34SRJ-16S-0.5SH_50_,2,FH34SRJ-16S-0.5SH_50_, C324725
"J3, J4, J5",SPARKFUN_PRT-14417,3,Qwiic Port,C2859067
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9",603,17,220,
"U10, U11, U12, U13",RS_20_ADI,4,ADG333ABRSZ-REEL,C579044
U14,CD74HC154M96,1,CD74HC154M,C2832236
U15,RM_8_ADI,1,AD7466BRMZ,C578436
"U2, U4, U5, U6",SOP65P640X120-14N,4,LMV324IPWR, C398929
U3,SOT95P280X145-5N,1,TLV73318PDBVR, C882825
U7,ADG706BRUZ-REEL7,1,ADG706BRUZ-REEL7, C408400
U8,SOIC8_D_TEX,1,TLV9152IDR,C882649
U9,SC70-6_MC_MCH,1,MCP4018T-503E_LT,C145561
